r,t,y,AnnualizedInvestmentCost
RE1,PHL_INDU_OTHHPH_NG,2037,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2038,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2039,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2040,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2041,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2042,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2043,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2044,0.2391232958521753
RE1,PHL_INDU_OTHHPH_OIL,2020,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2021,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2022,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2023,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2024,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2025,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2026,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2027,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2028,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2029,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2030,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2031,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2032,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2033,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2034,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2035,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2036,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2037,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2038,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2039,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2040,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2041,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2042,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2043,30.26084462501586
RE1,PHL_INDU_OTHHPH_OIL,2044,30.26084462501586
RE1,PHL_INDU_OTHLPH_BIOM,2020,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2021,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2022,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2023,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2024,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2025,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2026,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2027,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2028,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2029,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2030,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2031,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2032,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2033,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2034,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2035,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2036,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2037,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2038,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2039,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2040,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2041,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2042,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2043,23.64798775882814
RE1,PHL_INDU_OTHLPH_BIOM,2044,23.64798775882814
RE1,PHL_INDU_OTHLPH_COAL,2020,46.68234488004811
RE1,PHL_INDU_OTHLPH_COAL,2021,136.79113449271287
RE1,PHL_INDU_OTHLPH_COAL,2022,139.92285432511693
RE1,PHL_INDU_OTHLPH_COAL,2023,143.0368292858193
RE1,PHL_INDU_OTHLPH_COAL,2024,146.13368781087033
RE1,PHL_INDU_OTHLPH_COAL,2025,149.2140650936973
RE1,PHL_INDU_OTHLPH_COAL,2026,152.52978829869733
RE1,PHL_INDU_OTHLPH_COAL,2027,155.82904377622708
RE1,PHL_INDU_OTHLPH_COAL,2028,159.1125072639751
RE1,PHL_INDU_OTHLPH_COAL,2029,162.38084774225302
RE1,PHL_INDU_OTHLPH_COAL,2030,165.60399488391982
RE1,PHL_INDU_OTHLPH_COAL,2031,169.23949743527905
RE1,PHL_INDU_OTHLPH_COAL,2032,172.86024187552007
RE1,PHL_INDU_OTHLPH_COAL,2033,176.4670053029847
RE1,PHL_INDU_OTHLPH_COAL,2034,180.06055130126097
RE1,PHL_INDU_OTHLPH_COAL,2035,183.64163669656014
RE1,PHL_INDU_OTHLPH_COAL,2036,187.8733899121777
RE1,PHL_INDU_OTHLPH_COAL,2037,192.09208787565217
RE1,PHL_INDU_OTHLPH_COAL,2038,196.29854822958677
RE1,PHL_INDU_OTHLPH_COAL,2039,200.4935548297002
RE1,PHL_INDU_OTHLPH_COAL,2040,204.63794191956327
RE1,PHL_INDU_OTHLPH_COAL,2041,209.43876762960508
RE1,PHL_INDU_OTHLPH_COAL,2042,214.22996407758484
RE1,PHL_INDU_OTHLPH_COAL,2043,219.01551811586506
RE1,PHL_INDU_OTHLPH_COAL,2044,223.71492911360716
RE1,PHL_INDU_OTHLPH_COAL,2045,224.17677555161006
RE1,PHL_INDU_OTHLPH_COAL,2046,220.14928432449167
RE1,PHL_INDU_OTHLPH_COAL,2047,225.17370487830243
RE1,PHL_INDU_OTHLPH_COAL,2048,230.20709922861732
RE1,PHL_INDU_OTHLPH_COAL,2049,235.24971739838114
RE1,PHL_INDU_OTHLPH_COAL,2050,240.23777650717025
RE1,PHL_INDU_OTHLPH_COAL,2051,245.74414669521872
RE1,PHL_INDU_OTHLPH_COAL,2052,251.26698461073747
RE1,PHL_INDU_OTHLPH_COAL,2053,256.80561451603796
RE1,PHL_INDU_OTHLPH_ELE,2021,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2022,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2023,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2024,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2025,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2026,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2027,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2028,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2029,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2030,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2031,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2032,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2033,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2034,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2035,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2036,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2037,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2038,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2039,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2040,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2041,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2042,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2043,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2044,1.3275948072143293
RE1,PHL_INDU_OTHLPH_ELE,2045,1.3275948072143293
RE1,PHL_INDU_OTHLPH_NG,2020,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2021,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2022,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2023,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2024,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2025,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2026,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2027,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2028,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2029,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2030,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2031,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2032,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2033,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2034,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2035,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2036,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2037,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2038,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2039,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2040,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2041,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2042,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2043,0.21971610943661457
RE1,PHL_INDU_OTHLPH_NG,2044,0.21971610943661457
RE1,PHL_INDU_OTHLPH_OIL,2020,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2021,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2022,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2023,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2024,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2025,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2026,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2027,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2028,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2029,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2030,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2031,34.24272165775564
RE1,PHL_INDU_OTHLPH_OIL,2032,34.24272165775564
