r,t,y,CapitalInvestment
RE1,PHL_AGR_HEAT_COAL,2025,0
RE1,PHL_AGR_HEAT_COAL,2026,0
RE1,PHL_AGR_HEAT_COAL,2027,0
RE1,PHL_AGR_HEAT_COAL,2028,0
RE1,PHL_AGR_HEAT_COAL,2029,0
RE1,PHL_AGR_HEAT_COAL,2030,0
RE1,PHL_AGR_HEAT_COAL,2031,0
RE1,PHL_AGR_HEAT_COAL,2032,0
RE1,PHL_AGR_HEAT_COAL,2033,0
RE1,PHL_AGR_HEAT_COAL,2034,0
RE1,PHL_AGR_HEAT_COAL,2035,0
RE1,PHL_AGR_HEAT_COAL,2036,0
RE1,PHL_AGR_HEAT_COAL,2037,0
RE1,PHL_AGR_HEAT_COAL,2038,0
RE1,PHL_AGR_HEAT_COAL,2039,0
RE1,PHL_AGR_HEAT_COAL,2040,0
RE1,PHL_AGR_HEAT_COAL,2041,0
RE1,PHL_AGR_HEAT_COAL,2042,0
RE1,PHL_AGR_HEAT_COAL,2043,0
RE1,PHL_AGR_HEAT_COAL,2044,0
RE1,PHL_AGR_HEAT_COAL,2045,0
RE1,PHL_AGR_HEAT_COAL,2046,0
RE1,PHL_AGR_HEAT_COAL,2047,0
RE1,PHL_AGR_HEAT_COAL,2048,0
RE1,PHL_AGR_HEAT_COAL,2049,0
RE1,PHL_AGR_HEAT_COAL,2050,0
RE1,PHL_AGR_HEAT_COAL,2051,0
RE1,PHL_AGR_HEAT_COAL,2052,0
RE1,PHL_AGR_HEAT_COAL,2053,0
RE1,PHL_AGR_HEAT_BIOM,2020,2.999
RE1,PHL_AGR_HEAT_BIOM,2021,0
RE1,PHL_AGR_HEAT_BIOM,2022,0
RE1,PHL_AGR_HEAT_BIOM,2023,0
RE1,PHL_AGR_HEAT_BIOM,2024,0
RE1,PHL_AGR_HEAT_BIOM,2025,0
RE1,PHL_AGR_HEAT_BIOM,2026,0
RE1,PHL_AGR_HEAT_BIOM,2027,0
RE1,PHL_AGR_HEAT_BIOM,2028,0
RE1,PHL_AGR_HEAT_BIOM,2029,0
RE1,PHL_AGR_HEAT_BIOM,2030,0
RE1,PHL_AGR_HEAT_BIOM,2031,0
RE1,PHL_AGR_HEAT_BIOM,2032,0
RE1,PHL_AGR_HEAT_BIOM,2033,0
RE1,PHL_AGR_HEAT_BIOM,2034,0
RE1,PHL_AGR_HEAT_BIOM,2035,0
RE1,PHL_AGR_HEAT_BIOM,2036,0
RE1,PHL_AGR_HEAT_BIOM,2037,0
RE1,PHL_AGR_HEAT_BIOM,2038,0
RE1,PHL_AGR_HEAT_BIOM,2039,0
RE1,PHL_AGR_HEAT_BIOM,2040,0
RE1,PHL_AGR_HEAT_BIOM,2041,0
RE1,PHL_AGR_HEAT_BIOM,2042,0
RE1,PHL_AGR_HEAT_BIOM,2043,0
RE1,PHL_AGR_HEAT_BIOM,2044,0
RE1,PHL_AGR_HEAT_BIOM,2045,0
RE1,PHL_AGR_HEAT_BIOM,2046,0
RE1,PHL_AGR_HEAT_BIOM,2047,0
RE1,PHL_AGR_HEAT_BIOM,2048,0
RE1,PHL_AGR_HEAT_BIOM,2049,0
RE1,PHL_AGR_HEAT_BIOM,2050,0
