r_x,f,t,y,m,r_y,l,r,ProductionByTechnologyByMode
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2034,1,RE1,1,RE1,0.429
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2035,1,RE1,1,RE1,0.4378
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2036,1,RE1,1,RE1,0.4483
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2037,1,RE1,1,RE1,0.4588
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2038,1,RE1,1,RE1,0.4694
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2039,1,RE1,1,RE1,0.4799
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2040,1,RE1,1,RE1,0.4904
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2041,1,RE1,1,RE1,0.5026
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2042,1,RE1,1,RE1,0.5149
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2043,1,RE1,1,RE1,0.5271
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2044,1,RE1,1,RE1,0.5394
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2045,1,RE1,1,RE1,0.5516
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2046,1,RE1,1,RE1,0.5656
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2047,1,RE1,1,RE1,0.5795
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2048,1,RE1,1,RE1,0.5935
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2049,1,RE1,1,RE1,0.6074
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2050,1,RE1,1,RE1,0.6214
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2051,1,RE1,1,RE1,0.6367
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2052,1,RE1,1,RE1,0.6521
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2053,1,RE1,1,RE1,0.6674
RE1,PHL_PUB_WAT,PHL_DEM_PUB_GWT_WAT,2035,1,RE1,1,RE1,0.0576
RE1,PHL_PUB_WAT,PHL_DEM_PUB_SUR_WAT,2021,1,RE1,1,RE1,3.1547
RE1,PHL_PUB_WAT,PHL_DEM_PUB_SUR_WAT,2025,1,RE1,1,RE1,5.5723
RE1,PHL_PUB_WAT,PHL_DEM_PUB_SUR_WAT,2032,1,RE1,1,RE1,8.4986
RE1,PHL_PUB_WAT,PHL_DEM_PUB_SUR_WAT,2034,1,RE1,1,RE1,7.193
RE1,PHL_PUB_WAT,PHL_DEM_PUB_SUR_WAT,2044,1,RE1,1,RE1,24.9666
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2021,1,RE1,1,RE1,0.3692
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2022,1,RE1,1,RE1,0.2035
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2023,1,RE1,1,RE1,0.044
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2024,1,RE1,1,RE1,0.0595
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2025,1,RE1,1,RE1,0.5277
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2026,1,RE1,1,RE1,0.0524
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2027,1,RE1,1,RE1,0.0444
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2028,1,RE1,1,RE1,0.0509
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2029,1,RE1,1,RE1,0.0674
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2031,1,RE1,1,RE1,0.0615
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2032,1,RE1,1,RE1,0.8048
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2033,1,RE1,1,RE1,0.0705
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2034,1,RE1,1,RE1,0.6812
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2036,1,RE1,1,RE1,0.0943
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2037,1,RE1,1,RE1,0.2147
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2038,1,RE1,1,RE1,0.4936
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2039,1,RE1,1,RE1,0.5113
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2040,1,RE1,1,RE1,0.7145
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2041,1,RE1,1,RE1,0.6466
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2042,1,RE1,1,RE1,0.8565
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2043,1,RE1,1,RE1,0.9069
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2044,1,RE1,1,RE1,2.9704
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2045,1,RE1,1,RE1,0.8888
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2046,1,RE1,1,RE1,1.2392
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2047,1,RE1,1,RE1,1.4205
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2048,1,RE1,1,RE1,1.2691
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2049,1,RE1,1,RE1,1.7046
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2050,1,RE1,1,RE1,1.487
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2051,1,RE1,1,RE1,1.9195
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2052,1,RE1,1,RE1,2.133
