r_x,f,t,y,m,r_y,l,r,UseByTechnologyByMode
RE1,PHL_HOU_ELE,PHL_HOU_COOK_ELE,2031,1,RE1,1,RE1,0.395
RE1,PHL_HOU_ELE,PHL_HOU_COOK_ELE,2032,1,RE1,1,RE1,0.3917
RE1,PHL_HOU_ELE,PHL_HOU_COOK_ELE,2033,1,RE1,1,RE1,0.3884
RE1,PHL_HOU_ELE,PHL_HOU_COOK_ELE,2034,1,RE1,1,RE1,0.3882
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2020,1,RE1,1,RE1,3.8112
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2021,1,RE1,1,RE1,4.0881
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2022,1,RE1,1,RE1,4.365
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2023,1,RE1,1,RE1,4.6419
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2024,1,RE1,1,RE1,4.9188
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2025,1,RE1,1,RE1,5.1957
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2026,1,RE1,1,RE1,5.5386
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2027,1,RE1,1,RE1,5.8815
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2028,1,RE1,1,RE1,6.2244
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2029,1,RE1,1,RE1,6.5673
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2030,1,RE1,1,RE1,6.9102
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2031,1,RE1,1,RE1,7.3132
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2032,1,RE1,1,RE1,7.7162
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2033,1,RE1,1,RE1,8.1192
RE1,PHL_HOU_ELE,PHL_HOU_UNIT,2034,1,RE1,1,RE1,8.5223
