Sum of CapitalInvestment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,(blank),Grand Total
PHL_TRA_CAR_LIQ,514.4173,1462.682,1468.3073,1459.7756,1478.2178,1482.3481,1518.7239,1508.4097,1525.7353,1528.9336,1550.6656,1533.8395,1549.2393,1549.9886,631.6402,1169.7799,2136.7641,2137.834,2124.6612,2140.0147,2143.686,2111.6292,2098.0791,2112.6605,2113.442,2113.9297,1995.098,2009.7064,2010.0442,1084.9787,1628.2281,2494.0853,2494.0853,2479.8258,,59361.456
PHL_TRA_CAR_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_CAR_PHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_RAILF_ELE,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30.4
PHL_TRA_RAILF_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_RAILF_LIQ,0,0,16,0,16,2.2355,16,16,0,17.4882,22.4138,9.5862,0,16,16,16,16,16,16,32,44.2762,16,48,32,32,34.2355,48,48,32,49.4882,54.4138,57.5862,32,64,,835.7236
PHL_TRA_RAILP_ELE,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30.4
PHL_TRA_RAILP_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_RAILP_LIQ,0,0,16,0,16,2.2355,16,0,16,1.4882,22.4138,9.5862,0,16,16,16,16,16,16,16,44.2762,32,32,16,48,18.2355,48,32,48,33.4882,54.4138,41.5862,32,64,,755.7236
PHL_TRA_SHIP_AMMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_SHIP_LIQ,0,20962766,20967998,20967598,20946630,20890017,22526704,22400432,22176428,21894182,22760797,23779197,23778797,23541405,23074111,22535166,23100543,22275169,21384163,26651942,0,38627163,34769515,31291915,28162724,25346714,24547138,22113469,19902314,35823992,0,0,0,0,,687198989
PHL_TRA_TRUH_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_TRUH_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_TRUH_LIQ,272.0548,723.1811,736.4755,748.7438,760.0772,770.5567,860.381,806.5488,878.6704,887.1757,939.7298,1036.2269,1039.0426,1042.572,563.0727,898.6775,1562.3251,1565.778,1570.7375,1574.5973,1588.0032,1798.5612,1730.6297,1804.9109,1807.9947,1810.7701,1983.5404,1985.107,1988.2128,1488.4048,1851.0903,2546.9433,2546.9433,2547.8458,,46715.5819
PHL_TRA_TRUH_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_TRUH_PHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_TRUL_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_TRUL_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_TRUL_LIQ,0,1892.8756,1915.4546,1901.2251,1922.7307,1908.6792,2121.1649,2124.8079,2111.0945,2131.5516,2126.2059,2351.2224,2336.542,2357.0493,1242.0078,1242.5448,3464.5184,3485.6223,3470.2791,3490.2838,3484.1203,3951.1731,3952.617,3937.6172,3956.8496,3940.1749,4324.7705,4309.2118,4328.6416,3199.8874,3205.8599,5473.2941,5491.0288,5472.764,,102623.8701
PHL_TRA_TRUL_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_TRUL_PHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_VAN_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
